Concept,Mean Similarity,Variance
Car,0.23511062562465668,0.0002055665827356279
Sports-Car,0.23188339173793793,0.0003468314534984529
Luxury-Car,0.23226656019687653,0.00013534097524825484
Female,0.19448885321617126,0.0003520215686876327
Young-Female,0.19230622053146362,0.00040658359648659825
Old-Female,0.21116386353969574,0.0005661057075485587
Male,0.20500728487968445,0.00021882893634028733
Young-Male,0.2152099460363388,0.00047374796122312546
Old-Male,0.22065062820911407,0.00032305606873705983
Table,0.2522124946117401,0.00026903016259893775
Wooden-Table,0.2665863335132599,0.00025565820396877825
Round-Table,0.2435234785079956,0.00018664781237021089
